"","genes","estimate","p","p.adj"
"13510","WWC2",0.235800367833181,0.78,0.952136096188284
"13511","WWC3",-0.312468371224453,0.439,0.860271731690623
"13512","WWOX",-0.184172722214993,0.81,0.957090383821709
"13513","WWP1",-0.688550942056622,0.443,0.862325945063911
"13514","WWP2",1.26258715943313,0.0218,0.730920038535645
"13515","WWTR1",0.731321481026981,0.304,0.827964478333643
"13516","XAB2",0.19116586340211,0.851,0.967521642443015
"13517","XAF1",-0.271016194736243,0.739,0.94377598358462
"13518","XBP1",0.393768774912199,0.276,0.825639367816092
"13519","XCL1",-0.423831834384899,0.462,0.869629191321499
"13520","XDH",0.681253810100085,0.342,0.833907099184783
"13521","XG",-1.32560455815167,0.168,0.794227212681638
"13522","XIAP",-0.362797066294512,0.565,0.900154427285857
"13523","XK",0.662832061100834,0.105,0.78961743772242
"13524","XKR6",-0.660850644918608,0.392,0.845357035251582
"13525","XKR8",-0.00445769398487508,0.995,0.998137701471619
"13526","XKR9",-0.102052966816429,0.917,0.981825882528547
"13527","XKRX",-0.860752193791007,0.295,0.827964478333643
"13528","XPA",-0.762083047206794,0.311,0.827964478333643
"13529","XPC",-0.297517513795926,0.679,0.930488703810071
"13530","XPNPEP1",-0.604549393013164,0.539,0.8946875
"13531","XPNPEP3",-0.946968665179773,0.154,0.794131844380403
"13532","XPO1",-0.256792573743205,0.557,0.898012726658408
"13533","XPO4",-1.69211491986799,0.00962,0.730920038535645
"13534","XPO5",-0.919259787309344,0.245,0.812222093561834
"13535","XPO6",0.403147832414412,0.311,0.827964478333643
"13536","XPO7",-0.683654113750957,0.146,0.79117538688283
"13537","XPOT",-1.31807117730345,0.0563,0.767252306273063
"13538","XPR1",-0.144231153478576,0.798,0.954014531484884
"13539","XRCC1",0.369174384753697,0.522,0.887370510845087
"13540","XRCC2",-1.04969406123753,0.0648,0.778535087719298
"13541","XRCC3",-0.295374357870147,0.646,0.920748086290884
"13542","XRCC4",-0.0168683076015389,0.963,0.994111559818273
"13543","XRCC5",0.082080898605142,0.853,0.968180700919759
"13544","XRCC6",0.414251290600605,0.497,0.877906589338598
"13545","XRN1",-0.197540261064404,0.763,0.948629158004158
"13546","XRN2",-0.440341816119513,0.656,0.923457567115744
"13547","XRRA1",-0.614279448475817,0.247,0.812828735632184
"13548","XXYLT1",0.311916935033088,0.745,0.945449911347518
"13549","XYLB",-0.27884016763743,0.67,0.92774714644999
"13550","XYLT1",1.04062990888854,0.225,0.799799752781211
"13551","XYLT2",0.0466240735773833,0.946,0.988899518037097
"13552","YAE1D1",-0.697932058612671,0.347,0.835121889710827
