,gene_symbol,pearson,P_value
324,ADGRF2,0.00641992,0.971714604
325,ADGRF3,0.046237036,0.798331891
326,ADGRF4,-0.206192513,0.249634663
327,ADGRF5,0.138101773,0.443421623
328,ADGRG1,0.019857434,0.912659619
329,ADGRG2,0.083437884,0.644340207
330,ADGRG3,0.224847849,0.20838031
331,ADGRG4,-0.013210019,0.941835716
332,ADGRG5,-0.002418991,0.989340396
333,ADGRG6,0.023206033,0.898002239
334,ADGRG7,-0.236251378,0.185616133
335,ADGRL1,-0.126737609,0.482166905
336,ADGRL2,0.272054328,0.125614643
337,ADGRL3,0.027611754,0.878768699
338,ADGRL4,0.033782491,0.851946159
339,ADGRV1,-0.16618195,0.355339249
340,ADH1C,-0.132792766,0.461308009
341,ADH4,0.037376022,0.836398778
342,ADH5,0.20724057,0.247182822
343,ADH6,0.240336403,0.177903873
344,ADH7,0.148995102,0.407929321
345,ADHFE1,0.264772664,0.136466835
346,ADI1,0.38650272,0.026295279
347,ADIG,-0.027332295,0.879986799
348,ADIPOQ,0.065555229,0.717011402
349,ADIPOR1,0.032379706,0.85803051
350,ADIPOR2,0.246898224,0.165994982
351,ADIRF,0.128349807,0.476566052
352,ADK,-0.112241041,0.534017968
353,ADM,0.163612417,0.36293152
354,ADM2,0.081838311,0.650722405
355,ADM5,0.367572939,0.035340827
356,ADNP,0.120448337,0.50433727
357,ADNP2,0.242078738,0.174684441
358,ADO,0.260363797,0.143363184
359,ADORA1,0.086385374,0.632645213
360,ADORA2A,0.125451444,0.486659377
361,ADORA2B,-0.045613441,0.800997067
362,ADORA3,0.127437047,0.479732854
363,ADPGK,0.352665334,0.044115581
364,ADPRH,0.196588314,0.272854452
365,ADPRHL1,0.132161339,0.463460506
366,ADPRHL2,0.326238935,0.063896845
367,ADPRM,-0.233325305,0.19128285
368,ADRA1A,0.056522035,0.754717901
369,ADRA1B,0.155722211,0.38684129
370,ADRA1D,0.034843738,0.847348718
371,ADRA2A,0.208399599,0.244490098
372,ADRA2B,0.492418857,0.003602167
373,ADRA2C,0.098230841,0.586542474
374,ADRB1,0.067270509,0.709921892
375,ADRB2,0.357789485,0.040921407
376,ADRB3,0.03980295,0.825932591
377,ADRM1,0.005889984,0.974048621
378,ADSL,-0.118226767,0.512288797
379,ADSS,-0.173792517,0.333416979
380,ADSSL1,0.031629573,0.861287403
381,ADTRP,0.096956698,0.591429793
382,AEBP1,0.250674349,0.159405969
383,AEBP2,0.228115564,0.201669497
384,AEN,0.082515956,0.648015638
385,AES,0.084722467,0.639232759
386,AFAP1,0.277541482,0.117869266
387,AFAP1L1,0.3361971,0.055755919
388,AFAP1L2,-0.078902612,0.662498961
389,AFDN,0.152919045,0.395550594
390,AFF1,0.155587458,0.3872574
391,AFF2,0.216210213,0.226854973
392,AFF3,0.257996826,0.147168769
393,AFF4,0.138689871,0.44146375
394,AFG1L,0.303808225,0.08564253
395,AFG3L2,0.439424751,0.010508977
396,AFMID,-0.016003112,0.929565369
397,AFP,0.056732478,0.753832729
398,AFTPH,-0.019600279,0.913786455
399,AGA,-0.135368023,0.452584356
400,AGAP1,-0.103753783,0.565566629
401,AGAP11,-0.11686413,0.517196553
402,AGAP2,0.003408213,0.984981674
403,AGAP3,0.213710217,0.232403
404,AGAP4,-0.212329753,0.23550544
405,AGAP5,-0.19856321,0.267968878
406,AGAP6,-0.248834715,0.162592071
407,AGAP9,-0.255317026,0.151565325
408,AGBL1,0.098264507,0.586413583
409,AGBL2,0.011223704,0.95056996
410,AGBL3,0.097613587,0.588907899
411,AGBL4,0.184823238,0.30315311
412,AGBL5,0.427077034,0.013182359
413,AGER,0.102643818,0.569754591
414,AGFG1,0.037034386,0.837874345
415,AGFG2,-0.112102256,0.534526974
416,AGGF1,0.035205909,0.845780874
417,AGK,-0.062562984,0.729434148
418,AGL,0.025087706,0.889780027
419,AGMAT,0.12665922,0.482440097
420,AGMO,-0.077156791,0.669540353
421,AGO1,0.326777596,0.063433881
422,AGO2,0.299337103,0.090586834
423,AGO3,0.22622261,0.2055385
424,AGO4,0.340857187,0.052239798
425,AGPAT1,0.148056529,0.410922373
426,AGPAT2,0.198016967,0.269314442
427,AGPAT3,0.339688089,0.053104882
428,AGPAT4,0.363016116,0.037857928
429,AGPAT5,0.19402167,0.279289928
430,AGPS,-0.296269445,0.094103378
431,AGR2,-0.077108193,0.669736764
432,AGR3,0.002801598,0.987654508
433,AGRN,-0.001121533,0.995057708
434,AGRP,0.166638776,0.3539995
435,AGT,-0.148192175,0.410489044
436,AGTPBP1,0.095048699,0.598781496
437,AGTR1,0.054489518,0.763282758
438,AGTR2,-0.034960144,0.84684473
439,AGTRAP,0.2647705,0.136470159
440,AGXT,0.057613458,0.750130466
441,AGXT2,0.135156249,0.453298374
442,AHCTF1,0.029784385,0.869308198
443,AHCY,-0.190044833,0.28945345
444,AHCYL1,0.043963237,0.808060412
445,AHCYL2,0.22200664,0.214338968
446,AHDC1,0.292305546,0.09880021
447,AHI1,0.23876712,0.180839285
448,AHNAK,-0.122005276,0.498801741
449,AHNAK2,-0.293225108,0.097695094
450,AHR,0.115890705,0.520716614
451,AHRR,0.080420274,0.65640073
452,AHSA1,0.286767571,0.105657289
453,AHSA2,0.337387284,0.054840581
454,AHSG,-0.00219689,0.990319067
455,AHSP,-0.087810155,0.627022923
456,AIDA,-0.091281146,0.613412554
457,AIF1,0.035589357,0.844121552
458,AIF1L,0.124045307,0.491595393
459,AIFM1,-0.30859327,0.080583545
460,AIFM2,-0.282743178,0.110861088
461,AIFM3,0.040194727,0.824245746
462,AIG1,0.24082483,0.176997169
463,AIMP1,-0.096289985,0.593994219
464,AIMP2,0.301777224,0.087862123
465,AIP,-0.032213846,0.858750434
466,AIPL1,0.184750563,0.303346627
467,AIRE,-0.040049866,0.824869372
468,AJAP1,-0.009629518,0.957584061
469,AJUBA,0.357860081,0.040878739
470,AK1,-0.040599908,0.822501999
471,AK2,-0.113682737,0.528744217
472,AK3,-0.108841645,0.546552093
473,AK4,0.194255295,0.278700125
474,AK5,-0.355134181,0.042552517
475,AK6,0.258096367,0.147007264
476,AK7,0.265875441,0.134780582
477,AK8,-0.127470826,0.479615466
478,AK9,-0.146988392,0.414343632
479,AKAIN1,0.063201639,0.726776882
480,AKAP1,-0.138362126,0.442554284
481,AKAP10,0.156728537,0.383742034
482,AKAP11,0.035453924,0.844707545
483,AKAP12,0.185423855,0.301556791
484,AKAP13,-0.135779314,0.451199367
485,AKAP14,0.086851023,0.630805488
486,AKAP17A,0.115522099,0.522052608
487,AKAP2,0.015050322,0.933749427
488,AKAP3,0.201152147,0.261651351
489,AKAP4,0.031859901,0.860287133
490,AKAP5,0.289512028,0.102215624
491,AKAP6,0.250814235,0.159165549
492,AKAP7,0.164641111,0.359880501
493,AKAP8,0.194532675,0.278000905
494,AKAP8L,-0.102884215,0.568846365
495,AKAP9,-0.073233467,0.685464593
496,AKIP1,0.171841293,0.338956702
497,AKIRIN1,0.382608941,0.02798091
498,AKIRIN2,0.395057544,0.022883529
499,AKNA,0.023740874,0.895664087
500,AKNAD1,0.105158418,0.560287112
501,AKR1A1,-0.021162528,0.906943377
502,AKR1B1,0.013644307,0.939926912
503,AKR1B10,-0.013582615,0.940198045
504,AKR1B15,-0.21231484,0.235539108
505,AKR1C1,-0.033407585,0.853571449
506,AKR1C2,-0.084477901,0.640203898
507,AKR1C3,-0.179699201,0.316988358
508,AKR1C4,0.073345366,0.685008523
509,AKR1D1,-0.063322019,0.726276361
510,AKR1E2,-0.341815768,0.051538877
511,AKR7A2,0.489774604,0.003815228
512,AKR7A3,0.080850117,0.654677474
